"idUsuario";"reputacao";"respostas";"perguntas";"comentariospergunta";"comentariosresposta";"comunidade"
"1_139";"194";"1";"1";"0";"0";"BIO"
"1_1253";"193";"0";"1";"0";"1";"BIO"
"1_816";"193";"0";"3";"3";"12";"BIO"
"1_1609";"192";"0";"7";"6";"8";"BIO"
"1_3141";"192";"0";"10";"3";"0";"BIO"
"1_1016";"191";"1";"1";"0";"0";"BIO"
"1_1355";"191";"1";"1";"1";"4";"BIO"
"1_3287";"191";"3";"0";"0";"1";"BIO"
"1_3570";"191";"4";"0";"1";"1";"BIO"
"1_688";"191";"0";"2";"0";"7";"BIO"
"1_926";"191";"0";"1";"0";"0";"BIO"
"1_1061";"190";"0";"2";"2";"0";"BIO"
"1_121";"188";"0";"1";"1";"0";"BIO"
"1_161";"188";"0";"1";"1";"0";"BIO"
"1_589";"188";"0";"1";"0";"1";"BIO"
"1_6003";"188";"13";"0";"0";"11";"BIO"
"1_610";"188";"0";"1";"0";"0";"BIO"
"1_883";"188";"0";"2";"0";"2";"BIO"
"1_885";"188";"0";"3";"1";"3";"BIO"
"1_989";"187";"0";"4";"0";"0";"BIO"
"1_19";"186";"0";"1";"0";"0";"BIO"
"1_693";"186";"0";"2";"0";"0";"BIO"
"1_1522";"185";"2";"2";"5";"5";"BIO"
"1_957";"185";"4";"2";"0";"3";"BIO"
"1_1125";"183";"0";"1";"0";"0";"BIO"
"1_1197";"183";"5";"0";"1";"0";"BIO"
"1_207";"183";"0";"4";"0";"7";"BIO"
"1_234";"183";"1";"1";"0";"1";"BIO"
"1_299";"183";"0";"1";"1";"0";"BIO"
"1_4037";"183";"0";"1";"1";"2";"BIO"
"1_820";"182";"2";"0";"0";"1";"BIO"
"1_1429";"181";"3";"0";"0";"1";"BIO"
"1_235";"181";"2";"0";"0";"0";"BIO"
"1_410";"181";"0";"5";"1";"2";"BIO"
"1_120";"180";"2";"0";"1";"3";"BIO"
"1_16";"179";"0";"1";"0";"1";"BIO"
"1_1216";"178";"0";"5";"1";"0";"BIO"
"1_3731";"178";"1";"1";"0";"3";"BIO"
"1_1809";"177";"0";"5";"1";"2";"BIO"
"1_781";"177";"0";"3";"1";"0";"BIO"
"1_14";"176";"1";"0";"0";"0";"BIO"
"1_1569";"176";"0";"2";"0";"0";"BIO"
"1_400";"175";"0";"2";"1";"7";"BIO"
"1_438";"175";"0";"2";"0";"2";"BIO"
"1_600";"175";"0";"2";"1";"0";"BIO"
"1_553";"174";"1";"1";"0";"0";"BIO"
"1_698";"174";"4";"0";"1";"0";"BIO"
"1_1470";"173";"0";"1";"0";"0";"BIO"
"1_2944";"173";"1";"3";"0";"0";"BIO"
"1_3535";"173";"0";"3";"3";"5";"BIO"
"1_3920";"173";"1";"4";"4";"5";"BIO"
"1_750";"173";"0";"2";"2";"4";"BIO"
"1_18";"171";"0";"1";"2";"0";"BIO"
"1_46";"171";"1";"2";"3";"3";"BIO"
"1_722";"171";"1";"0";"1";"1";"BIO"
"1_82";"171";"3";"0";"0";"1";"BIO"
"1_485";"170";"0";"2";"0";"3";"BIO"
"1_585";"170";"0";"2";"1";"4";"BIO"
"1_1190";"169";"0";"7";"6";"2";"BIO"
"1_1265";"169";"3";"0";"0";"1";"BIO"
"1_145";"169";"0";"2";"0";"0";"BIO"
"1_344";"169";"1";"0";"0";"0";"BIO"
"1_1034";"168";"0";"2";"0";"0";"BIO"
"1_225";"168";"0";"2";"2";"1";"BIO"
"1_258";"168";"0";"2";"0";"2";"BIO"
"1_3074";"168";"0";"5";"2";"6";"BIO"
"1_970";"168";"0";"2";"3";"0";"BIO"
"1_746";"167";"0";"4";"1";"5";"BIO"
"1_947";"167";"0";"4";"2";"2";"BIO"
"1_1130";"166";"3";"0";"1";"4";"BIO"
"1_1389";"166";"3";"0";"0";"1";"BIO"
"1_3773";"166";"7";"0";"1";"5";"BIO"
"1_5757";"166";"3";"0";"1";"2";"BIO"
"1_6128";"166";"0";"1";"0";"0";"BIO"
"1_669";"166";"1";"1";"1";"0";"BIO"
"1_704";"166";"0";"2";"2";"2";"BIO"
"1_1070";"165";"0";"1";"2";"4";"BIO"
"1_1396";"165";"2";"1";"3";"0";"BIO"
"1_224";"165";"0";"2";"1";"2";"BIO"
"1_3514";"165";"0";"3";"0";"0";"BIO"
"1_73";"165";"0";"1";"5";"1";"BIO"
"1_1390";"164";"0";"2";"0";"1";"BIO"
"1_1899";"163";"1";"1";"0";"2";"BIO"
"1_37";"163";"1";"2";"1";"2";"BIO"
"1_58";"163";"0";"1";"0";"0";"BIO"
"1_651";"163";"0";"1";"0";"0";"BIO"
"1_1677";"162";"2";"3";"2";"1";"BIO"
"1_3583";"162";"0";"3";"1";"0";"BIO"
"1_1865";"161";"4";"0";"0";"1";"BIO"
"1_284";"161";"0";"4";"3";"4";"BIO"
"1_3672";"161";"1";"1";"0";"0";"BIO"
"1_3674";"161";"3";"0";"1";"0";"BIO"
"1_403";"161";"0";"1";"2";"0";"BIO"
"1_41";"161";"2";"0";"0";"1";"BIO"
"1_4342";"161";"7";"0";"0";"0";"BIO"
"1_4518";"161";"1";"1";"5";"2";"BIO"
"1_464";"161";"1";"1";"0";"1";"BIO"
"1_4908";"161";"8";"0";"2";"8";"BIO"
"1_573";"161";"0";"2";"0";"0";"BIO"
"1_5940";"161";"1";"0";"0";"0";"BIO"
"1_645";"161";"0";"1";"1";"0";"BIO"
"1_1519";"160";"0";"3";"4";"0";"BIO"
"1_4321";"160";"1";"4";"0";"1";"BIO"
"1_1369";"159";"0";"4";"1";"1";"BIO"
"1_308";"159";"1";"0";"3";"3";"BIO"
"1_826";"159";"0";"1";"2";"3";"BIO"
"1_1164";"158";"0";"1";"2";"2";"BIO"
"1_1705";"158";"1";"6";"3";"5";"BIO"
"1_3474";"158";"1";"1";"0";"3";"BIO"
"1_35";"158";"0";"1";"0";"0";"BIO"
"1_3589";"158";"5";"0";"0";"1";"BIO"
"1_377";"158";"0";"1";"1";"1";"BIO"
"1_421";"158";"0";"2";"0";"0";"BIO"
"1_941";"158";"0";"5";"5";"10";"BIO"
"1_491";"157";"0";"1";"0";"2";"BIO"
"1_766";"157";"7";"0";"3";"0";"BIO"
"1_1727";"156";"0";"1";"0";"0";"BIO"
"1_3839";"156";"0";"5";"0";"0";"BIO"
"1_5084";"156";"0";"1";"0";"0";"BIO"
"1_5367";"156";"7";"0";"1";"1";"BIO"
"1_2954";"155";"1";"1";"1";"2";"BIO"
"1_3466";"155";"1";"5";"5";"0";"BIO"
"1_3918";"155";"0";"4";"3";"0";"BIO"
"1_5578";"155";"0";"2";"0";"3";"BIO"
"1_578";"155";"0";"2";"0";"1";"BIO"
"1_1067";"154";"4";"1";"2";"0";"BIO"
"1_5564";"154";"2";"1";"2";"3";"BIO"
"1_1267";"153";"0";"1";"0";"0";"BIO"
"1_128";"153";"0";"1";"1";"4";"BIO"
"1_2987";"153";"0";"1";"0";"1";"BIO"
"1_312";"153";"0";"1";"0";"1";"BIO"
"1_3302";"153";"1";"2";"2";"0";"BIO"
"1_76";"153";"0";"1";"0";"0";"BIO"
"1_1200";"152";"0";"2";"0";"1";"BIO"
"1_288";"151";"0";"1";"0";"0";"BIO"
"1_3848";"151";"1";"0";"0";"0";"BIO"
"1_4242";"151";"2";"2";"1";"0";"BIO"
"1_4385";"151";"0";"2";"0";"0";"BIO"
"1_4674";"151";"3";"2";"2";"1";"BIO"
"1_469";"151";"1";"0";"0";"1";"BIO"
"1_565";"151";"1";"1";"1";"3";"BIO"
"1_6137";"151";"6";"1";"0";"2";"BIO"
"1_873";"151";"0";"1";"1";"0";"BIO"
"1_1661";"150";"0";"4";"2";"4";"BIO"
"1_1864";"150";"0";"3";"0";"4";"BIO"
"1_3998";"150";"1";"2";"4";"6";"BIO"
"1_571";"150";"0";"2";"0";"3";"BIO"
"1_608";"150";"0";"2";"2";"1";"BIO"
"1_933";"150";"0";"2";"1";"2";"BIO"
"1_1264";"149";"1";"1";"0";"1";"BIO"
"1_135";"149";"0";"2";"0";"0";"BIO"
"1_1869";"149";"0";"2";"0";"1";"BIO"
"1_937";"149";"1";"0";"0";"0";"BIO"
"1_1092";"148";"0";"1";"0";"1";"BIO"
"1_1326";"148";"0";"1";"1";"2";"BIO"
"1_1428";"148";"0";"2";"1";"2";"BIO"
"1_1589";"148";"0";"1";"0";"1";"BIO"
"1_304";"148";"0";"1";"0";"0";"BIO"
"1_314";"148";"0";"1";"0";"3";"BIO"
"1_4104";"148";"0";"1";"0";"1";"BIO"
"1_414";"148";"0";"1";"0";"8";"BIO"
"1_4186";"148";"1";"3";"2";"0";"BIO"
"1_4206";"148";"2";"6";"1";"2";"BIO"
"1_50";"148";"0";"2";"1";"4";"BIO"
"1_626";"148";"0";"1";"0";"2";"BIO"
"1_1624";"147";"0";"3";"1";"3";"BIO"
"1_4150";"147";"0";"3";"0";"1";"BIO"
"1_1324";"146";"0";"1";"0";"4";"BIO"
"1_1339";"146";"0";"2";"1";"2";"BIO"
"1_1364";"146";"0";"2";"2";"1";"BIO"
"1_262";"146";"0";"3";"2";"2";"BIO"
"1_2985";"146";"0";"1";"0";"0";"BIO"
"1_3072";"146";"2";"0";"0";"1";"BIO"
"1_316";"146";"0";"1";"0";"1";"BIO"
"1_3869";"146";"0";"2";"1";"6";"BIO"
"1_407";"146";"0";"1";"0";"1";"BIO"
"1_4733";"146";"0";"2";"1";"0";"BIO"
"1_580";"146";"0";"1";"0";"0";"BIO"
"1_587";"146";"1";"0";"0";"0";"BIO"
"1_867";"146";"4";"3";"0";"0";"BIO"
"1_891";"146";"2";"0";"4";"1";"BIO"
"1_940";"146";"0";"1";"2";"1";"BIO"
"1_3894";"145";"2";"20";"18";"19";"BIO"
"1_5344";"145";"1";"2";"3";"4";"BIO"
"1_1315";"144";"0";"1";"0";"1";"BIO"
"1_252";"144";"0";"1";"0";"0";"BIO"
"1_4347";"144";"0";"5";"6";"6";"BIO"
"1_834";"144";"0";"4";"2";"0";"BIO"
"1_985";"144";"0";"1";"0";"0";"BIO"
"1_1068";"143";"2";"1";"0";"0";"BIO"
"1_1291";"143";"0";"1";"1";"0";"BIO"
"1_1384";"143";"0";"1";"0";"0";"BIO"
"1_1774";"143";"0";"1";"0";"3";"BIO"
"1_3013";"143";"0";"1";"0";"0";"BIO"
"1_3116";"143";"0";"2";"0";"0";"BIO"
