"id";"idOrigem";"reputacao";"nome"
"1_12";"12";"1730";"GWW"
"1_120";"120";"180";"peri4n"
"1_1200";"1200";"152";"Desmond Hume"
"1_1201";"1201";"101";"Jerry"
"1_1202";"1202";"331";"Mechanical snail"
"1_1203";"1203";"212";"wim"
"1_121";"121";"188";"www0z0k"
"1_1210";"1210";"347";"AGS"
"1_1211";"1211";"36";"A Y"
"1_1216";"1216";"178";"luciano"
"1_1224";"1224";"258";"Steven Roose"
"1_1225";"1225";"206";"TimothÃ©e Poisot"
"1_1226";"1226";"121";"rsegal"
"1_123";"123";"59";"Charlie Bog"
"1_1231";"1231";"5580";"MCM"
"1_1236";"1236";"83";"David Walz"
"1_1240";"1240";"16";"Chanelle Ractliffe"
"1_1241";"1241";"119";"Jeremy Leipzig"
"1_1248";"1248";"318";"Luke"
"1_1249";"1249";"296";"Doc"
"1_1250";"1250";"554";"Conner"
"1_1251";"1251";"141";"Nathan Long"
"1_1253";"1253";"193";"Geuis"
"1_1255";"1255";"11";"Shuklangi"
"1_126";"126";"351";"kali281"
"1_1264";"1264";"149";"Blundell"
"1_1265";"1265";"169";"apoz"
"1_1266";"1266";"19";"Bonnet"
"1_1267";"1267";"153";"andrew cooke"
"1_1270";"1270";"103";"Pureferret"
"1_1271";"1271";"21";"Peter Kinnon"
"1_1274";"1274";"31";"MCM"
"1_1278";"1278";"237";"ymar"
"1_1279";"1279";"230";"Petr PudlÃ¡k"
"1_128";"128";"153";"Pedery"
"1_1281";"1281";"123";"Edward Ruchevits"
"1_1283";"1283";"205";"Question Overflow"
"1_1284";"1284";"136";"Brian"
"1_1285";"1285";"9";"CEM"
"1_1289";"1289";"212";"Chris Cooper"
"1_129";"129";"814";"Piotr Migdal"
"1_1290";"1290";"101";"Andrew Thompson"
"1_1291";"1291";"143";"Joachim Breitner"
"1_1295";"1295";"11";"Mifkit"
"1_1296";"1296";"46";"Coder"
"1_1297";"1297";"128";"LordScree"
"1_1300";"1300";"300";"Nick"
"1_1302";"1302";"101";"Russell Borogove"
"1_1303";"1303";"351";"carandraug"
"1_1304";"1304";"101";"avra"
"1_1305";"1305";"31";"Benjamin Cargile"
"1_1306";"1306";"6041";"terdon"
"1_1307";"1307";"281";"Lubo Antonov"
"1_1308";"1308";"135";"Mohayemin"
"1_1310";"1310";"1";"user1310"
"1_1312";"1312";"121";"ib84"
"1_1313";"1313";"16";"Mark Blackwell"
"1_1315";"1315";"144";"Sklivvz"
"1_1320";"1320";"11735";"Alan Boyd"
"1_1324";"1324";"146";"Jon Ericson"
"1_1325";"1325";"381";"atomadam2"
"1_1326";"1326";"148";"darksky"
"1_133";"133";"236";"Innab"
"1_1330";"1330";"113";"John"
"1_1332";"1332";"21";"jmerkin"
"1_1335";"1335";"19";"ooglie"
"1_1337";"1337";"31";"sujit ghosh"
"1_1338";"1338";"111";"rmk"
"1_1339";"1339";"146";"bobuhito"
"1_1344";"1344";"138";"Jens"
"1_1345";"1345";"51";"satz"
"1_135";"135";"149";"johnny1bucket"
"1_1350";"1350";"48";"Green"
"1_1351";"1351";"21";"Ali"
"1_1352";"1352";"31";"user1352"
"1_1353";"1353";"16";"Anima Mundi"
"1_1355";"1355";"191";"Maciej Trybi?o"
"1_1357";"1357";"357";"caseyr547"
"1_1359";"1359";"22";"Arwil"
"1_1360";"1360";"31";"user1480431"
"1_1364";"1364";"146";"masonk"
"1_1365";"1365";"21";"JDawson"
"1_1367";"1367";"339";"Salain"
